study	reference	dataset	N_cases	N_controls	N_eff_half	LAMBDA-GC	N-SNPs
mmi2	MDD6	MDD6_mmi2	329	202	250	0.992	6570087
mmo4	MDD6	MDD6_mmo4	145	92	112	1.029	5729777
nes1	MDD6	MDD6_nes1	1228	147	262	0.96	7176268
qi3c	MDD6	MDD6_qi3c	512	69	121	0.964	6352373
qi6c	MDD6	MDD6_qi6c	248	36	62	1.005	5724581
qio2	MDD6	MDD6_qio2	305	35	62	1.011	5790314
rad3	MDD6	MDD6_rad3	1530	86	162	0.972	7239181
rot4	MDD6	MDD6_rot4	113	103	107	1.025	5401930
stm2	MDD6	MDD6_stm2	804	129	222	0.959	6630303
twg2	MDD6	MDD6_twg2	851	100	178	0.953	7204898
bidi1	MDD7	MDD7_bidi1	239	572	337	1.004	6918911
col3	MDD7	MDD7_col3	412	94	153	1	6214431
gens	MDD7	MDD7_gens	942	77	142	0.942	6907314
gep3	MDD7	MDD7_gep3	251	211	229	1.01	6329266
mmi2	MDD7	MDD7_mmi2	256	275	265	1.01	6586470
mmo4	MDD7	MDD7_mmo4	131	107	117	1.019	5729893
nes1	MDD7	MDD7_nes1	1056	319	489	0.999	7122829
qi3c	MDD7	MDD7_qi3c	416	164	235	0.992	6454686
qi6c	MDD7	MDD7_qi6c	183	100	129	1.027	5751678
qio2	MDD7	MDD7_qio2	249	93	135	1.027	5841063
rad3	MDD7	MDD7_rad3	1513	111	206	0.99	7055911
stm2	MDD7	MDD7_stm2	695	238	354	0.972	6719719
bidi1	MDD8	MDD8_bidi1	413	398	405	1.008	6903010
col3	MDD8	MDD8_col3	416	90	147	0.996	6206456
gens	MDD8	MDD8_gens	916	92	167	0.944	7016300
gep3	MDD8	MDD8_gep3	291	171	215	1.01	6325736
grnd	MDD8	MDD8_grnd	740	63	116	0.935	6705014
nes1	MDD8	MDD8_nes1	1304	71	134	0.97	6903897
qi3c	MDD8	MDD8_qi3c	531	49	89	0.993	6405534
rad3	MDD8	MDD8_rad3	1463	150	272	0.988	7357404
rot4	MDD8	MDD8_rot4	79	137	100	1.018	5401975
stm2	MDD8	MDD8_stm2	773	160	265	0.967	6628071
twg2	MDD8	MDD8_twg2	895	55	103	0.975	6751400
bidi1	MDD9	MDD9_bidi1	181	630	281	1.016	6924496
col3	MDD9	MDD9_col3	251	255	252	1.028	6240198
gens	MDD9	MDD9_gens	755	260	386	0.978	7061859
grnd	MDD9	MDD9_grnd	587	230	330	0.986	6992461
mmi2	MDD9	MDD9_mmi2	217	315	256	1.02	6589617
mmo4	MDD9	MDD9_mmo4	89	150	111	1.023	5730430
nes1	MDD9	MDD9_nes1	688	687	687	1.015	7197486
qi3c	MDD9	MDD9_qi3c	285	295	289	1.009	6488360
qi6c	MDD9	MDD9_qi6c	149	132	139	1.009	5752123
qio2	MDD9	MDD9_qio2	161	178	169	1.015	5843561
rad3	MDD9	MDD9_rad3	1028	461	636	1.012	7237264
rage	MDD9	MDD9_rage	171	142	155	1.013	5893884
rau2	MDD9	MDD9_rau2	126	93	107	1.018	5405560
rde4	MDD9	MDD9_rde4	32	27	29	1.1	3099344
rot4	MDD9	MDD9_rot4	86	130	103	1.036	5401975
stm2	MDD9	MDD9_stm2	65	865	120	1.013	6841298
twg2	MDD9	MDD9_twg2	597	355	445	0.985	7223698
AGDS	MDD2	anhedonia_GWASsumstats_QCed	13601	965	1802	0.988	7508850
AGDS	MDD8	concentration_GWASsumstats_QCed	12527	599	1143	0.97	7480314
AGDS	MDD9	death_GWASsumstats_QCed	10439	2699	4289	1.011	7559453
AGDS	MDD1	depressed_GWASsumstats_QCed	14151	471	911	0.985	7455224
AGDS	MDD6	fatigue_GWASsumstats_QCed	12610	600	1145	0.986	7480344
AGDS	MDD5b	psychomotor_GWASsumstats_QCed	7216	5927	6508	0.999	7585999
AGDS	MDD5a	restless_GWASsumstats_QCed	5614	7538	6435	1.013	7593586
AGDS	MDD4b	sleepMore_GWASsumstats_QCed	7349	5848	6513	1.009	7586451
AGDS	MDD4a	sleepProb_GWASsumstats_QCed	10036	3169	4816	0.997	7567283
AGDS	MDD3b	weightGain_GWASsumstats_QCed	4826	5748	5246	1.024	7589426
AGDS	MDD3a	weightLost_GWASsumstats_QCed	2487	8087	3804	1.014	7601664
AGDS	MDD7	worthless_GWASsumstats_QCed	12270	865	1616	0.987	7501785
ALSPAC	MDD1	MDD1_ALSPAC_CISR	328	2966	590	1.013	7231041
ALSPAC	MDD2	MDD2_ALSPAC_CISR	610	2684	994	0.993	7231544
ALSPAC	MDD3a	MDD3a_ALSPAC_CISR	44	3250	86	0.921	6859890
ALSPAC	MDD3b	MDD3b_ALSPAC_CISR	52	3242	102	0.937	6937605
ALSPAC	MDD4a	MDD4a_ALSPAC_CISR	668	2626	1065	0.999	7231200
ALSPAC	MDD4b	MDD4b_ALSPAC_CISR	464	2830	797	0.986	7232350
ALSPAC	MDD5a	MDD5a_ALSPAC_CISR	113	3181	218	0.989	7156069
ALSPAC	MDD5b	MDD5b_ALSPAC_CISR	299	2995	543	1.005	7214538
ALSPAC	MDD6	MDD6_ALSPAC_CISR	1055	2239	1434	1	7229891
ALSPAC	MDD7	MDD7_ALSPAC_CISR	386	2908	681	1.013	7230751
ALSPAC	MDD8	MDD8_ALSPAC_CISR	370	2924	656	1.018	7231636
ALSPAC	MDD9	MDD9_ALSPAC_CISR	367	2927	652	0.997	7231901
UKBB	MDD1	MDD1_UKBB_CIDI_glm	66558	54647	60017	1.113	7703740
UKBB	MDD2	MDD2_UKBB_CIDI_glm	47769	73393	57871	1.113	7703731
UKBB	MDD3a	MDD3a_UKBB_CIDI_glm	24632	23720	24167	1.022	7704749
UKBB	MDD3b	MDD3b_UKBB_CIDI_glm	13813	23720	17459	1.056	7704731
UKBB	MDD4a	MDD4a_UKBB_CIDI_glm	43987	12043	18908	1.024	7705753
UKBB	MDD4b	MDD4b_UKBB_CIDI_glm	9750	12043	10775	1.031	7705730
UKBB	MDD6	MDD6_UKBB_CIDI_glm	50575	11159	18283	1.027	7704649
UKBB	MDD7	MDD7_UKBB_CIDI_glm	32741	31462	32088	1.049	7703529
